Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Buffer_Length,Queue_Length,Entities_System
25624.001260047007,NEXT_ARRIVAL,25522.998554438578,25624.001260047007,197932.86612736125,11315.199395076157,0,0,3
25668.81801116881,END_SERVICE,25446.831235152924,25668.81801116881,200084.0701812079,11494.466399563364,0,0,4
25685.07094120414,END_SERVICE,25492.674295459503,25685.07094120414,200880.46375293858,11543.225189669356,0,0,3
25721.180408349588,NEXT_ARRIVAL,25624.001260047007,25721.180408349588,202685.9371102117,11615.444123960253,0,0,2
25722.026465707957,END_SERVICE,25522.998554438578,25722.026465707957,202727.39392077195,11617.98229603536,0,0,3
25728.934659798084,END_SERVICE,25721.180408349588,25728.934659798084,203072.80362527812,11631.798684215613,0,0,2
25743.573767675156,NEXT_ARRIVAL,25721.180408349588,25743.573767675156,203819.3981270086,11646.437792092685,0,0,1
25753.02257507411,NEXT_ARRIVAL,25743.573767675156,25753.02257507411,204291.83849695677,11665.33540689059,0,0,2
25755.826183573514,NEXT_ARRIVAL,25753.02257507411,25755.826183573514,204429.21531342782,11673.746232388807,0,0,3
25756.764338734763,NEXT_ARRIVAL,25755.826183573514,25756.764338734763,204474.24676116763,11677.498853033805,0,0,4
25769.48547826003,NEXT_ARRIVAL,25756.764338734763,25769.48547826003,205072.14031885518,11741.10455066014,0,0,5
25814.279247832368,END_SERVICE,25755.826183573514,25814.279247832368,207132.6537191827,12009.867168094166,0,0,6
25867.078325321287,END_SERVICE,25769.48547826003,25867.078325321287,209614.21036116188,12273.862555538759,0,0,5
25891.279935699135,END_SERVICE,25624.001260047007,25891.279935699135,210775.8876592984,12370.66899705015,0,0,4
25897.922102026696,END_SERVICE,25753.02257507411,25897.922102026696,211101.35380934927,12390.595496032834,0,0,3
25901.57253572626,NEXT_ARRIVAL,25769.48547826003,25901.57253572626,211283.87549432783,12397.896363431963,0,0,2
25903.19622892366,NEXT_ARRIVAL,25901.57253572626,25903.19622892366,211363.43646100105,12402.767443024168,0,0,3
25944.738326419083,END_SERVICE,25743.573767675156,25944.738326419083,213357.4571407818,12568.935833005853,0,0,4
25951.94605710237,NEXT_ARRIVAL,25903.19622892366,25951.94605710237,213710.63594426322,12590.559025055714,0,0,3
25952.143424443853,END_SERVICE,25903.19622892366,25952.143424443853,213720.10957665477,12591.348494421647,0,0,4
25965.57860016207,NEXT_ARRIVAL,25951.94605710237,25965.57860016207,214378.43318684734,12631.654021576294,0,0,3
25975.083319317815,END_SERVICE,25756.764338734763,25975.083319317815,214834.6597063235,12669.672898199278,0,0,4
26013.342252229493,NEXT_ARRIVAL,25965.57860016207,26013.342252229493,216709.34741899555,12784.449696934313,0,0,3
