Current_Time,Event_Name,Event_Scheduled,Event-Time,Idle_Processors,Service_Processors,Queue_Length,Entities_System
26757.06212814321,END_SERVICE,26735.240893634815,26757.06212814321,250186.80708939373,17980.42357405115,0,6
26769.899351500102,END_SERVICE,26616.610485124096,26769.899351500102,250790.15658716712,18044.60969083561,0,5
26798.15732313546,END_SERVICE,26717.695857559094,26798.15732313546,252146.53922566393,18157.64157737704,0,4
26834.938180880567,END_SERVICE,26586.99356655918,26834.938180880567,253948.80125517346,18267.98415061236,0,3
26860.245483279643,END_SERVICE,26675.257054779107,26860.245483279643,255214.1663751271,18318.598755410512,0,2
26881.384845706176,END_SERVICE,26617.764237054762,26881.384845706176,256292.27385888027,18339.738117837045,0,1
26911.991931460172,NEXT_ARRIVAL,25873.909152859993,26911.991931460172,257883.8423180877,18339.738117837045,0,0
26915.203609118198,NEXT_ARRIVAL,26616.610485124096,26915.203609118198,258047.63787864684,18342.94979549507,0,1
26961.275530109742,NEXT_ARRIVAL,26735.240893634815,26961.275530109742,260351.2339282246,18435.09363747816,0,2
27010.859670079306,END_SERVICE,26915.203609118198,27010.859670079306,262780.8567867325,18583.84605738685,0,3
27015.735740923163,NEXT_ARRIVAL,26546.20829470739,27015.735740923163,263024.66032892425,18593.598199074564,0,2
27017.875239746114,NEXT_ARRIVAL,26717.695857559094,27017.875239746114,263129.49577124993,18600.016695543418,0,3
27028.265827069645,END_SERVICE,26961.275530109742,27028.265827069645,263628.2439627789,18641.57904483754,0,4
27179.80204773916,END_SERVICE,26911.991931460172,27179.80204773916,271053.51877558505,19096.18770684608,0,3
27192.235955706234,END_SERVICE,27017.875239746114,27192.235955706234,271675.2141739381,19121.055522780232,0,2
27198.118820464042,NEXT_ARRIVAL,26675.257054779107,27198.118820464042,271975.2402765854,19126.93838753804,0,1
27273.82051546948,END_SERVICE,27015.735740923163,27273.82051546948,275760.3250268559,19278.341777548918,0,2
27281.62039247346,END_SERVICE,27198.118820464042,27281.62039247346,276158.1187540599,19286.141654552895,0,1
27476.442564019602,NEXT_ARRIVAL,26517.4263774738,27476.442564019602,286288.8716744607,19286.141654552895,0,0
27480.973147596298,NEXT_ARRIVAL,27476.442564019602,27480.973147596298,286519.93143687275,19290.67223812959,0,1
27535.486740091,NEXT_ARRIVAL,27480.973147596298,27535.486740091,289245.61106160824,19399.699423118996,0,2
27550.074411210953,NEXT_ARRIVAL,26648.20452234188,27550.074411210953,289960.4069464859,19443.462436478854,0,3
27561.591724922506,NEXT_ARRIVAL,27015.735740923163,27561.591724922506,290513.23800464167,19489.531691325064,0,4
27579.072716969906,END_SERVICE,27480.973147596298,27579.072716969906,291334.8446308698,19576.936651562064,0,5
27611.64823666454,NEXT_ARRIVAL,27561.591724922506,27611.64823666454,292898.4695762133,19707.2387303406,0,4
27623.121174105338,NEXT_ARRIVAL,26911.991931460172,27623.121174105338,293437.69763593044,19764.60341754459,0,5
